user_id,user_status,message_status,country,city,scope,sent_date,delivery_date,control_group_date,view_count,view_date,click_count,click_date,failure_count,message_status_time,conversion_count,conversion_date
69fb3c0e57c1e600126aa24a,known,Delivered,,,11d9fdba-ba5e-490f-a0ff-f4a9bfd85ad1,2026-08-13T09:06:04.004Z,2026-08-13T09:06:07.007Z,,,,,,,2026-08-13T09:06:07.007Z,,
68c8e554e03c520019e56561,known,Delivered,,,2721dbe4-440e-4cd9-92ba-c6eb546dcafe,2026-08-13T08:57:17.017Z,2026-08-13T08:57:18.018Z,,,,,,,2026-08-13T08:57:18.018Z,,
6a4de15c8d5ddf0012befbc5,known,Opened,,,1002dcbb-98e0-4e31-90f8-b58d4d855f46,2026-08-13T08:51:08.008Z,2026-08-13T08:51:09.009Z,,1,2026-08-13T12:14:37.037Z,,,,2026-08-13T12:14:37.037Z,,
6a1423760b27f80021fb9338,known,Opened,Kenya,Nairobi,13faf303-ed6b-4b4b-88cf-ffe288c544a3,2026-08-13T08:02:11.011Z,2026-08-13T08:02:12.012Z,,1,2026-08-13T22:11:09.009Z,,,,2026-08-13T22:11:09.009Z,,
65d8ebc5c1abb4001262688b,known,Delivered,,,66ea57d6-200f-49c0-8eb4-1418513be875,2026-08-13T07:40:54.054Z,2026-08-13T07:40:55.055Z,,,,,,,2026-08-13T07:40:55.055Z,,
65b8a10e9f1d41002b6cbc6e,known,Delivered,,,e9a71aa6-0ff7-4d2f-adeb-90c3935e5fe8,2026-08-13T07:01:47.047Z,2026-08-13T07:01:48.048Z,,,,,,,2026-08-13T07:01:48.048Z,,
69c3a20447262a00199a2777,known,Delivered,,,1a5a6538-e550-4dd4-9caf-525e0a8ae3b6,2026-08-13T01:16:17.017Z,2026-08-13T01:16:19.019Z,,,,,,,2026-08-13T01:16:19.019Z,,
6a7c6ceaa394d50021d7ce53,known,Opened,,,c4d3c506-0531-4151-b94d-aa57eed936c0,2026-08-12T13:18:54.054Z,2026-08-12T13:18:55.055Z,,1,2026-08-13T08:36:32.032Z,,,,2026-08-13T08:36:32.032Z,,
698237009b786a001f39b55a,known,Delivered,,,52a68b9c-1e3a-403f-a4eb-ea5c48d400c0,2026-08-12T12:54:31.031Z,2026-08-12T12:54:32.032Z,,,,,,,2026-08-12T12:54:32.032Z,,
6a2a5127f0612d002d2e0e3a,known,Added to Control Group,,,d6380627-fbf2-4e8a-ae3d-cbfe5fa42056,2026-08-12T12:14:27.027Z,,2026-08-12T12:14:27.475000,,,,,,2026-08-12T12:14:27.027Z,,
69948960bc7d380011022e8a,known,Added to Control Group,,,ab24839b-c9bd-4f44-a80c-5d283b682c30,2026-08-12T11:36:21.021Z,,2026-08-12T11:36:21.169000,,,,,,2026-08-12T11:36:21.021Z,,
6a5958c0ba0cbb001974a616,known,Delivered,,,cae82d73-823b-4ea8-9928-8827e2266668,2026-08-12T10:12:28.028Z,2026-08-12T10:12:31.031Z,,,,,,,2026-08-12T10:12:31.031Z,,
6895ce318bc96e001285c874,known,Delivered,,,6e88ec09-c789-448e-8f21-781c7c55810e,2026-08-12T10:00:29.029Z,2026-08-12T10:00:31.031Z,,,,,,,2026-08-12T10:00:31.031Z,,
69e0e73d9d1793002b77e070,known,Delivered,,,7fe3007b-92c6-44b9-b642-e501e27cf742,2026-08-12T09:23:51.051Z,2026-08-12T09:23:52.052Z,,,,,,,2026-08-12T09:23:52.052Z,,
6a60ce849fb7560031dabbc7,known,Delivered,,,fe668be4-33bd-47fe-8b50-8961a2af9394,2026-08-12T08:53:06.006Z,2026-08-12T08:53:07.007Z,,,,,,,2026-08-12T08:53:07.007Z,,
6647d626668f0e0048d33dec,known,Delivered,,,d5d18a2d-ca76-4cc9-9169-490caf393b7a,2026-08-12T08:46:25.025Z,2026-08-12T08:46:28.028Z,,,,,,,2026-08-12T08:46:28.028Z,,
65bcf2cce44cba002047f6ee,known,Delivered,,,18212eb8-f9d6-4962-bde9-d12f47974329,2026-08-12T07:21:43.043Z,2026-08-12T07:21:44.044Z,,,,,,,2026-08-12T07:21:44.044Z,,
6622aafb7cee240012f924ea,known,Delivered,,,6aed562b-ed3c-4c32-b864-0f6773ec3034,2026-08-12T07:10:52.052Z,2026-08-12T07:10:54.054Z,,,,,,,2026-08-12T07:10:54.054Z,,
6a37b90b565b2e0019d61050,known,Added to Control Group,,,4bf2e944-6796-4bfd-a7c7-e20d88144eb4,2026-08-12T07:08:35.035Z,,2026-08-12T07:08:35.297000,,,,,,2026-08-12T07:08:35.035Z,,
6a6cacfde1514f00219bdeea,known,Added to Control Group,,,7f979202-7508-476b-a77e-b1a13ae684c7,2026-08-12T06:44:17.017Z,,2026-08-12T06:44:17.009000,,,,,,2026-08-12T06:44:17.017Z,,
67171ccb0797c501cc6d7d5f,known,Opened,Malaysia,Kuala Lumpur,688e160d-4d4d-4787-a919-97d5c367eb11,2026-08-12T05:17:17.017Z,2026-08-12T05:17:18.018Z,,1,2026-08-12T15:36:16.016Z,,,,2026-08-12T15:36:16.016Z,,
6a67dea5ab2ddb00124e9caf,known,Opened,,,54eb4483-0570-4315-9dbb-749e7856d0d7,2026-08-12T04:32:47.047Z,2026-08-12T04:32:48.048Z,,1,2026-08-12T04:35:30.030Z,,,,2026-08-12T04:35:30.030Z,,
6a7ab3fa20d6df0019b332d6,known,Added to Control Group,,,a70fb660-a062-4bd2-b481-4a1530d3e2c4,2026-08-12T03:46:22.022Z,,2026-08-12T03:46:22.083000,,,,,,2026-08-12T03:46:22.022Z,,
63fdd042e2e39300191f5778,known,Delivered,,,35559f96-3912-467f-994e-a787f2fbf965,2026-08-12T02:58:26.026Z,2026-08-12T02:58:27.027Z,,,,,,,2026-08-12T02:58:27.027Z,,
697b65ca44e0fb0026467e29,known,Delivered,,,e13b342a-4d1c-49f8-acb5-b23bf990ac63,2026-08-12T02:11:50.050Z,2026-08-12T02:11:51.051Z,,,,,,,2026-08-12T02:11:51.051Z,,
65f397fa655dbd002b8b80e9,known,Failed,,,45ff46a5-93d0-4970-bc7f-b2e4f7d47aec,2026-08-12T02:07:10.010Z,,,,,,,1,2026-08-12T02:07:10.010Z,,
66c0732385436f00820adbd0,known,Added to Control Group,,,e5b3ed60-75b8-4406-92d6-288e988a4772,2026-08-11T15:41:26.026Z,,2026-08-11T15:41:26.610000,,,,,,2026-08-11T15:41:26.026Z,,
67bd933f95b2d900aeeb3382,known,Added to Control Group,,,4583cdd4-4205-4d68-9eb3-3888e0fba3c7,2026-08-11T15:00:35.035Z,,2026-08-11T15:00:35.601000,,,,,,2026-08-11T15:00:35.035Z,,
69f21b7f37774800202220dd,known,Added to Control Group,,,3b83fa98-f061-4635-81a1-f59d56377159,2026-08-11T12:14:06.006Z,,2026-08-11T12:14:06.795000,,,,,,2026-08-11T12:14:06.006Z,,
676d313cd4d4290043fb5bf0,known,Added to Control Group,,,2a71337c-9208-4cff-afde-8a88d7ecb12f,2026-08-11T12:12:10.010Z,,2026-08-11T12:12:10.505000,,,,,,2026-08-11T12:12:10.010Z,,
5f6de81409c7e863b41d4c54,known,Delivered,,,5c132b70-dbbe-471b-9560-6b4081b02e59,2026-08-11T12:09:28.028Z,2026-08-11T12:09:29.029Z,,,,,,,2026-08-11T12:09:29.029Z,,
650ad8a0bbc3ba0019b85c28,known,Opened,India,Delhi,76daf4a5-7b27-4b34-b792-f5205f8271e4,2026-08-11T11:01:57.057Z,2026-08-11T11:01:58.058Z,,1,2026-08-11T11:35:18.018Z,,,,2026-08-11T11:35:18.018Z,,
6965f2349efe82001f8b71e9,known,Delivered,,,2be4fd69-2c92-4821-ae6d-0d3d245ca332,2026-08-11T10:39:40.040Z,2026-08-11T10:39:41.041Z,,,,,,,2026-08-11T10:39:41.041Z,,
