userId,status,group,businessId,urlKey,country
5e1474698c87a40d558cba5e,Added to Control Group,CONTROL,5e1476598c87a40d558cba67,abclicks,IN
5e1474698c87a40d558cba5e,Added to Control Group,CONTROL,5f6ae87f6e836b362094d9fe,shoppershop,IN
5e1474698c87a40d558cba5e,Added to Control Group,CONTROL,65954c52080dd400201c1c82,ab-clicks-weddings,IN
5e562f07f413920edc0c1b8b,Delivered,TREATED,5e562f07f413920edc0c1b8d,flaners,IN
5e562f07f413920edc0c1b8b,Delivered,TREATED,5e56ae16f413920edc0c1fcd,www.flaners.in,IN
5e5b5e983d555a27a54ecf6f,Delivered,TREATED,5e5b5e983d555a27a54ecf71,www.krpathavan.com,IN
5e5b5e983d555a27a54ecf6f,Delivered,TREATED,68b4424607a01d004c48d632,kr-pathavan-trading-company,IN
5e5b5e983d555a27a54ecf6f,Delivered,TREATED,691f2936d92274001f4f819b,pooja-sports-ty6p16,IN
5e5b5e983d555a27a54ecf6f,Delivered,TREATED,691f2eebcd136a001889ee96,sun-sewing-machine-showroom,IN
5e5b5e983d555a27a54ecf6f,Delivered,TREATED,691f31b32ad9f90011d32c40,royal-agencies-crylyh,IN
5e5b5e983d555a27a54ecf6f,Delivered,TREATED,69379d719adaf40018e5bb94,jv-wellington-typewriters,IN
5e5b5e983d555a27a54ecf6f,Delivered,TREATED,6937a244725db5001824a4a2,sri-swamy-typewriter-machine,IN
5e856fe03cb95d1ad672256c,Delivered,TREATED,5e288003e0e9327626844cf6,codebuddy,IN
5e856fe03cb95d1ad672256c,Delivered,TREATED,5f64fa2a85e1b6075ba3011b,abhishek-gupta,IN
5e856fe03cb95d1ad672256c,Delivered,TREATED,5fc9e36c56babd268a2c6e7f,sudipta-b,IN
5e856fe03cb95d1ad672256c,Delivered,TREATED,60e3762fa4496d0011e23c55,cb-leads,IN
5e856fe03cb95d1ad672256c,Delivered,TREATED,6995dce3893645001fdc4cc4,codebuddy-inc,US
5e952c27daf2af370be5f90e,Delivered,TREATED,5e952d5edaf2af370be5f91c,fatema-codintrigal,IN
5e952c27daf2af370be5f90e,Delivered,TREATED,667ab542dc452d0082fe6866,codintrigal-solution,IN
5e952c27daf2af370be5f90e,Delivered,TREATED,667ab5b07e199f002765aa02,fatema-kutarvadaliwala-mz5nk5,IN
5ecb9e0e4d1c3a6e9e6e7c04,Delivered,TREATED,5ecb9e7d4d1c3a6e9e6e7c36,facteye,IN
5ecb9e0e4d1c3a6e9e6e7c04,Delivered,TREATED,6995a6c5d09dc0002a0ebb65,tidyhire-management-consultancies-llc,AE
5ecb9e0e4d1c3a6e9e6e7c04,Delivered,TREATED,6a3953c5d8953e002172e633,tidyhire-management-consultancies-llc-npaiqo,AE
5eec8e6380e8f3655e506d39,Delivered,TREATED,66ed2342233999006c4ce593,sante-qualite-consultancy-services-6mhvew,IN
5eec8e6380e8f3655e506d39,Delivered,TREATED,67502ca7bbf54202503d00ff,sante-qualite-biomedical-services,IN
5eec8e6380e8f3655e506d39,Delivered,TREATED,5e4a2792654a1f22b2982ceb,sante-qualite-consultancy-services-private-limited,IN
5f3161f8cdbf0a297c078439,Added to Control Group,CONTROL,5f3161f8cdbf0a297c07843b,ingen-llc,US
5f3161f8cdbf0a297c078439,Added to Control Group,CONTROL,670a2ed5a36a60019553420b,adaptis-rcm-private-limited,US
5f6c298b01d33934995f97cc,Opened,TREATED,5f6c298c01d33934995f97ce,narang-lightening-solutions,IN
5f6c298b01d33934995f97cc,Opened,TREATED,61a1c9839e83e1001348c103,rezent-power,IN
5f6c298b01d33934995f97cc,Opened,TREATED,63e6525caa7c8e0011a5bb9c,naman-narang,IN
5f6de81409c7e863b41d4c54,Delivered,TREATED,5f6de81409c7e863b41d4c56,v-lnk-u-cable-and-internet-services,IN
5f93bf875611891e00d3799c,Delivered,TREATED,5f93c24b5611891e00d3862d,tamil-hotell,US
601a6e63170944433d6d728e,Delivered,TREATED,601a6eeb7d72d3497acd1572,www.indiacraftart.com,IN
601a6e63170944433d6d728e,Delivered,TREATED,655df6f33d1fb20019de2db9,thot,IN
601e23b9368f8f651547b6bf,Delivered,TREATED,601e3d30368f8f6515480bbf,star-vision-cable-tv-internet,IN
601e23b9368f8f651547b6bf,Delivered,TREATED,620e0005cc28260012e19598,starvisonitsolutions,IN
601e23b9368f8f651547b6bf,Delivered,TREATED,621f2a11980403001314932e,dharambhir-kumar-mehta,IN
601e23b9368f8f651547b6bf,Delivered,TREATED,66ec4b5141a610006c95b26f,star-vision-it-solutions,IN
601e23b9368f8f651547b6bf,Delivered,TREATED,69cd148609bfc00020f2ced2,ms-jai-shiv-enterprises,IN
604e010cad85d40018fa3a2a,Clicked,TREATED,604a53bec7902c00121a0a5b,www.supertexep.com,IN
604e010cad85d40018fa3a2a,Clicked,TREATED,69a1646283b86c00112e7f77,s-m-enterprises-4k8wts,IN
6065f18e3d088900121ac537,Delivered,TREATED,6065f1d23d088900121ac58a,jha-legal-associates,IN
6065f18e3d088900121ac537,Delivered,TREATED,6a6d832dd1345b0025233da3,domusaxis-signature-realty-private-limited,IN
