ID,ClientProfile,InvoiceNumber,Product,AmountInINR,InvoiceDate: Day,Period,Product → Name
699a94156ff949002a6d4537,699136dcae3f5100117e1f49,80538,67ed22ef8812861b905e55ae,"3,500","Sunday, February 22, 2026",YEARLY,Accounts Lite
699ab43dcd3d52002a6b303e,66a7b2cecfb23600201aee57,80539,67ed22ef8812861b905e55ae,735,"Sunday, February 22, 2026",MONTHLY,Accounts Lite
699adb67cd3d52002a704401,62173eab7c1b1a0012f919e6,80540,65cc64881cfc439f4e6d7b5d,"4,983","Sunday, February 22, 2026",YEARLY,Starter Plus
699af241bb0cad00116cd222,604bc70250f9080011e78d2a,80541,67ed22ef8812861b905e55ae,"9,073","Sunday, February 22, 2026",YEARLY,Accounts Lite
699af5f06247a50011bd76ea,6370e6efae3f32001306181b,80542,68da88e69da3e16b92878651,"181,556","Sunday, February 22, 2026",LIFETIME,Workflows & Inventory
699b111bda6aea001876fa8d,697e289e13dc96002ab93911,80543,693d385cdba07afed36c9793,"18,550","Sunday, February 22, 2026",YEARLY,Accounts FTA
699b55b3cd3d52002a7c447c,663a9da5a085c50020400f18,80544,67ed22ef8812861b905e55ae,"2,177","Monday, February 23, 2026",QUATERLY,Accounts Lite
699bb25700894d7e4f19237a,6216909e90741a00124a391b,2025-26/MY/00055,67ed22ef8812861b905e55ae,"6,974","Monday, February 23, 2026",YEARLY,Accounts Lite
699bc8dabb0cad0011788500,66584baa14f73400534e4426,80545,67ed22ef8812861b905e55ae,"2,437","Monday, February 23, 2026",QUATERLY,Accounts Lite
699bc8e5da6aea0018807381,6721d7fd290d71008cf3b993,80546,67ed22ef8812861b905e55ae,"7,880","Monday, February 23, 2026",YEARLY,Accounts Lite
699be6ebd498d40011e02fad,6384bead5d23e800125c71e1,80547,67ed22ef8812861b905e55ae,"1,358","Monday, February 23, 2026",QUATERLY,Accounts Lite
699be90847ca3d001f9abd52,6657150551a1ec001910ba42,80548,65cc64881cfc439f4e6d7b5d,"4,130","Monday, February 23, 2026",YEARLY,Starter Plus
699bea6ed498d40011e0610d,686fbbdc5f53ce0027a43210,80549,67ed22ef8812861b905e55ae,699,"Monday, February 23, 2026",MONTHLY,Accounts Lite
699c06576247a50011bf6a10,66df7e242932e10012202a1f,2025-26/MY/00056,67ed22ef8812861b905e55ae,"1,278","Monday, February 23, 2026",QUATERLY,Accounts Lite
699c08356247a50011bf8565,66cb502b7c368c00ae6bf65e,80550,67ed22ef8812861b905e55ae,"1,888","Monday, February 23, 2026",QUATERLY,Accounts Lite
